tweet_year,tweet_month,tweet_days,tweet_hour,tweet_day,is_weekend,retweet_count,reply_count,like_count,quote_count,impression_count,engagement
2013,1,1,11.605299860529986,1,0,3289,239,415,0,0,1076.0
2013,1,2,11.754773869346733,2,0,819,1002,344,0,0,480.5
2013,1,3,11.205245153933866,3,0,1176,393,473,1,0,479.1
2013,1,4,11.390120967741936,4,0,998,329,206,0,0,385.8
2013,1,5,11.27859569648924,5,1,740,1525,457,0,0,572.7
2013,1,6,11.395973154362416,6,1,3485,531,2485,1,0,1400.6
2013,1,7,11.562962962962963,0,0,1118,411,322,4,0,451.40000000000003
2013,1,8,11.573926868044515,1,0,5077,1887,3772,0,0,2277.7000000000003
2013,1,9,11.302631578947368,2,0,520,331,273,1,0,249.9
2013,1,10,11.054662379421222,3,0,1604,1182,744,0,0,792.0
2013,1,11,11.236121970289288,4,0,1448,663,272,1,0,594.6
2013,1,12,12.040627885503232,5,1,2004,347,280,0,0,698.6
2013,1,13,11.488146551724139,6,1,637,329,208,0,0,277.7
2013,1,14,10.815165876777252,0,0,2469,535,1166,0,0,964.3
2013,1,15,10.95829926410466,1,0,628,346,325,1,0,290.5
2013,1,16,10.687444345503117,2,0,781,683,409,0,0,411.8
2013,1,17,10.514811849479583,3,0,990,568,369,0,0,447.5
2013,1,18,11.784599375650364,4,0,1964,3153,851,0,0,1304.9
2013,1,19,12.90950226244344,5,1,1202,459,593,0,0,511.7
2013,1,20,11.149532710280374,6,1,424,354,185,1,0,216.9
2013,1,21,11.235046335299073,0,0,11944,1401,5401,12,0,4408.3
2013,1,22,13.772228989037758,1,0,1729,812,459,1,0,727.4
2013,1,23,10.698421645997746,2,0,844,441,302,4,0,373.2
2013,1,24,12.131455399061032,3,0,2068,705,832,0,0,844.6
2013,1,25,11.208658623136976,4,0,1005,371,409,1,0,417.0
2013,1,26,10.45602294455067,5,1,1754,286,183,1,0,602.1
2013,1,27,9.759220598469033,6,1,2003,1169,806,4,0,916.9
2013,1,28,13.930651872399444,0,0,965,308,246,0,0,375.7
2013,1,29,10.504747626186907,1,0,871,389,244,0,0,363.5
2013,1,30,12.218690400508581,2,0,664,356,554,1,0,326.2
2013,1,31,10.50210970464135,3,0,5848,616,3819,0,0,2259.5
2013,2,1,11.554400554400555,4,0,1763,615,543,1,0,706.6
2013,2,2,11.391304347826088,5,1,510,291,166,0,0,227.8
2013,2,3,11.320366132723112,6,1,365,247,204,0,0,179.3
2013,2,4,12.375538793103448,0,0,971,372,364,1,0,402.5
2013,2,5,11.379746835443038,1,0,3101,784,1541,0,0,1241.2
2013,2,6,11.837857142857143,2,0,800,383,298,0,0,346.4
2013,2,7,11.238095238095237,3,0,832,405,178,0,0,348.4
2013,2,8,11.262096774193548,4,0,3207,2569,1553,0,0,1631.2
2013,2,9,10.933333333333334,5,1,868,300,506,0,0,371.0
2013,2,10,11.126126126126126,6,1,538,236,231,0,0,231.7
2013,2,11,11.749578414839798,0,0,680,319,226,0,0,290.4
2013,2,12,10.864638783269962,1,0,897,630,296,0,0,424.7
2013,2,13,12.140350877192983,2,0,1114,561,436,0,0,490.0
2013,2,14,11.277643260694107,3,0,719,335,324,0,0,315.1
2013,2,15,12.02122641509434,4,0,807,485,291,0,0,368.2
2013,2,16,11.40863453815261,5,1,1063,281,258,0,0,400.9
2013,2,17,12.692438402718777,6,1,4406,1030,2449,0,0,1772.7
2013,2,18,11.452877397831527,0,0,9854,2384,3649,1540,0,4413.9
2013,2,19,11.902085222121487,1,0,526,470,209,0,0,272.7
2013,2,20,11.578947368421053,2,0,993,521,506,3,0,453.9
2013,2,21,11.563725490196079,3,0,1174,802,601,0,0,572.7
2013,2,22,11.032478632478632,4,0,604,301,198,1,0,261.6
2013,2,23,11.386836027713626,5,1,417,975,291,0,0,349.2
2013,2,24,11.7117202268431,6,1,791,637,319,1,0,397.0
2013,2,25,11.96093023255814,0,0,442,220,195,2,0,196.9
2013,2,26,12.182511737089202,1,0,1576,409,279,0,0,582.5
2013,2,27,11.10608508346796,2,0,1428,427,541,2,0,568.7
2013,2,28,12.262752646775747,3,0,1281,506,525,0,0,538.0
2013,3,1,11.379524886877828,4,0,10339,869,872,0,0,3362.7
2013,3,2,10.406140350877193,5,1,2416,320,167,0,0,805.5
2013,3,3,10.883261802575108,6,1,2789,296,298,0,0,925.6999999999999
2013,3,4,11.790955631399317,0,0,10289,2504,10747,1,0,4662.6
2013,3,5,11.725581395348836,1,0,11732,1349,6376,5,0,4429.0
2013,3,6,11.33855331841909,2,0,737,353,294,0,0,321.1
2013,3,7,11.743411927877947,3,0,745,317,172,0,0,304.1
2013,3,8,11.690956979806849,4,0,434,241,197,0,0,198.1
2013,3,9,10.727547931382443,5,1,951,275,259,0,0,366.2
2013,3,10,11.256231306081755,6,1,792,350,398,0,0,347.4
2013,3,11,11.498714652956298,0,0,2634,757,1891,0,0,1130.7
2013,3,12,12.109701492537313,1,0,1660,3197,1019,0,0,1239.3
2013,3,13,11.630816170861937,2,0,1851,541,534,0,0,716.9
2013,3,14,11.40032154340836,3,0,758,526,574,1,0,390.4
2013,3,15,11.055028462998102,4,0,7359,1377,3966,3,0,2880.9000000000005
2013,3,16,11.27262313860252,5,1,582,290,213,0,0,253.9
2013,3,17,11.202558635394457,6,1,38991,8697,31830,85,0,16653.7
2013,3,18,11.461021505376344,0,0,604,294,264,1,0,266.8
2013,3,19,11.558848433530907,1,0,1307,700,562,0,0,588.3
2013,3,20,11.41891891891892,2,0,1343,686,947,0,0,634.8
2013,3,21,11.639593908629442,3,0,994,319,301,1,0,392.5
2013,3,22,11.601593625498008,4,0,2517,354,660,0,0,891.9
2013,3,23,11.941354903943378,5,1,425,284,317,3,0,217.20000000000002
2013,3,24,11.200221238938052,6,1,4406,811,2432,21,0,1735.6000000000001
2013,3,25,12.37351443123939,0,0,2786,376,2904,0,0,1201.4
2013,3,26,11.355848434925864,1,0,2381,672,1139,0,0,962.6
2013,3,27,11.503802281368822,2,0,493,211,168,0,0,206.9
2013,3,28,11.214268727705113,3,0,2178,729,590,2,0,859.0
