tweet_year,tweet_month,tweet_days,tweet_hour,tweet_day,is_weekend,retweet_count,reply_count,like_count,quote_count,impression_count,engagement
2006,3,22,0.0,2,0,3822,67,2277,482,0,1856.5
2006,3,23,11.25,3,0,11769,6047,10237,4586,0,9020.6
2006,3,24,4.0,4,0,865,7,856,8,0,519.1
2006,3,25,8.666666666666666,5,1,354,14,432,8,0,241.39999999999998
2006,3,26,11.0,6,1,369,5,213,11,0,176.6
2006,3,27,2.0,0,0,245,13,539,1,0,240.4
2006,3,28,10.5,1,0,194,1,109,3,0,91.3
2006,3,29,6.0,2,0,102,12,111,7,0,68.7
2006,3,30,3.0,3,0,61,2,85,4,0,44.599999999999994
2006,3,31,12.0,4,0,38,9,20,3,0,21.0
2006,4,1,7.0,5,1,358,17,159,102,0,161.89999999999998
2006,4,2,4.25,6,1,102,14,154,76,0,82.4
2007,11,28,16.0,2,0,1,0,1,0,0,0.6
2007,12,5,1.0,2,0,1,0,1,0,0,0.6
2007,12,10,8.0,0,0,0,0,0,1,0,0.0
2008,4,2,13.0,2,0,1,0,1,0,0,0.6
2008,4,20,5.0,6,1,1,0,1,0,0,0.6
2008,4,23,21.0,2,0,1,0,0,0,0,0.3
2008,4,25,4.0,4,0,1,0,0,0,0,0.3
2008,4,30,13.0,2,0,1,0,1,0,0,0.6
2008,5,1,14.0,3,0,1,0,0,0,0,0.3
2008,7,11,1.0,4,0,1,0,0,0,0,0.3
2008,7,13,14.0,6,1,1,0,0,0,0,0.3
2008,7,23,11.0,2,0,1,0,1,0,0,0.6
2008,8,1,18.0,4,0,1,0,0,0,0,0.3
2008,8,7,4.0,3,0,1,0,0,0,0,0.3
2008,8,27,23.0,2,0,0,1,1,0,0,0.7
2008,12,29,4.0,0,0,1,0,0,0,0,0.3
2009,2,6,21.0,4,0,1,0,0,0,0,0.3
2009,2,11,9.5,2,0,1733,20,1148,6,0,872.3
2009,2,12,7.0,3,0,3,0,0,0,0,0.9
2009,2,22,4.0,6,1,1,0,0,0,0,0.3
2009,3,4,4.0,2,0,2,0,1,0,0,0.8999999999999999
2009,3,11,2.0,2,0,1,0,0,0,0,0.3
2009,3,24,16.0,1,0,1,0,1,0,0,0.6
2009,4,1,4.0,2,0,1,0,2,0,0,0.9
2009,4,6,17.0,0,0,1,0,1,0,0,0.6
2009,4,8,17.0,2,0,1,0,0,0,0,0.3
2009,4,9,7.0,3,0,1,0,0,0,0,0.3
2009,4,23,11.5,3,0,2,1,0,0,0,1.0
2009,4,28,12.0,1,0,1,0,1,0,0,0.6
2009,5,5,2.0,1,0,1,0,1,0,0,0.6
2009,5,11,18.0,0,0,1,1,0,0,0,0.7
2009,5,15,0.0,4,0,1,0,0,0,0,0.3
2009,5,21,9.0,3,0,4,0,2,0,0,1.7999999999999998
2009,5,29,17.0,4,0,1,0,0,0,0,0.3
2009,6,4,17.0,3,0,1,0,0,0,0,0.3
2009,6,9,16.0,1,0,1,0,0,0,0,0.3
2009,6,16,8.0,1,0,2,0,0,0,0,0.6
2009,6,18,20.0,3,0,1,0,30,0,0,9.3
2009,6,20,15.0,5,1,1,0,0,0,0,0.3
2009,7,15,2.0,2,0,2,0,1,0,0,0.9
2009,7,16,10.0,3,0,1,0,0,0,0,0.3
2009,7,30,15.0,3,0,1,0,0,0,0,0.3
2009,8,9,23.0,6,1,1,0,0,0,0,0.3
2009,8,18,8.5,1,0,2,0,1,0,0,0.8999999999999999
2009,8,24,17.0,0,0,1,0,2,0,0,0.9
2009,8,26,14.0,2,0,1,0,1,0,0,0.6
2009,8,27,13.0,3,0,34,128,45,0,0,74.9
2009,8,28,2.0,4,0,1,0,0,0,0,0.3
2009,9,1,7.0,1,0,4,0,21,0,0,7.5
2009,9,3,9.0,3,0,2,0,3,0,0,1.5
2009,9,6,13.0,6,1,1,0,1,0,0,0.6
2009,9,11,14.0,4,0,0,0,0,1,0,0.0
2009,9,16,15.0,2,0,1,0,1,0,0,0.6
2009,9,30,18.0,2,0,2,0,0,0,0,0.6
2009,10,10,6.0,5,1,1,0,0,0,0,0.3
2009,10,14,21.0,2,0,1,0,0,1,0,0.3
2009,10,17,18.0,5,1,1,0,0,0,0,0.3
2009,10,20,10.0,1,0,1,0,0,0,0,0.3
2009,10,25,1.0,6,1,1,0,0,0,0,0.3
2009,10,26,7.0,0,0,3,1,1,0,0,1.5999999999999999
2009,10,29,18.0,3,0,1,0,2,0,0,0.9
2009,11,5,20.0,3,0,0,1,0,0,0,0.4
2009,11,8,9.0,6,1,1,0,0,0,0,0.3
2009,11,11,1.0,2,0,1,0,0,0,0,0.3
2009,11,22,6.0,6,1,1,0,1,0,0,0.6
2009,11,24,7.0,1,0,1,0,0,1,0,0.3
2009,11,28,20.5,5,1,2,0,4,0,0,1.7999999999999998
2009,12,2,1.0,2,0,787,81,367,7,0,378.6
2009,12,4,15.0,4,0,1,0,0,0,0,0.3
2009,12,6,9.5,6,1,1,0,1,1,0,0.6
2009,12,9,9.0,2,0,1,0,0,0,0,0.3
2009,12,12,11.0,5,1,1,0,2,0,0,0.9
2009,12,17,20.0,3,0,0,0,1,1,0,0.3
2009,12,19,15.0,5,1,1,0,0,0,0,0.3
2009,12,28,4.0,0,0,2,0,0,1,0,0.6
2010,1,4,12.0,0,0,0,1,1,0,0,0.7
2010,1,8,18.0,4,0,1,0,0,0,0,0.3
2010,1,20,1.0,2,0,0,2,1,0,0,1.1
2010,1,21,22.0,3,0,0,0,0,1,0,0.0
2010,1,23,2.0,5,1,0,0,0,1,0,0.0
2010,2,3,16.0,2,0,4,0,2,0,0,1.8
2010,2,4,11.0,3,0,0,1,0,0,0,0.4
2010,2,5,14.0,4,0,1,0,0,0,0,0.3
2010,2,15,14.0,0,0,3,0,4,0,0,2.1
2010,2,16,14.0,1,0,0,0,0,1,0,0.0
2010,2,17,11.0,2,0,1,0,2,0,0,0.9
2010,2,18,21.0,3,0,28,17,72,1,0,36.8
2010,2,20,8.0,5,1,3,0,3,0,0,1.7999999999999998
2010,2,24,3.0,2,0,70,1,6,0,0,23.2
2010,2,25,21.0,3,0,0,1,0,0,0,0.4
2010,3,1,13.0,0,0,4,0,1,0,0,1.5
2010,3,5,8.666666666666666,4,0,5,0,4,0,0,2.7
2010,3,7,12.0,6,1,2,0,0,0,0,0.6
2010,3,9,16.0,1,0,2,0,0,0,0,0.6
2010,3,12,8.166666666666666,4,0,24,0,14,1,0,11.4
2010,3,15,10.5,0,0,2,0,0,0,0,0.6
2010,3,17,22.0,2,0,1,0,0,0,0,0.3
2010,3,18,11.0,3,0,2,0,1,0,0,0.8999999999999999
2010,3,22,17.5,0,0,6,0,6,0,0,3.6
2010,3,28,13.0,6,1,1,0,0,0,0,0.3
2010,3,29,14.0,0,0,1,0,0,0,0,0.3
2010,4,1,8.5,3,0,10,0,12,0,0,6.6
2010,4,3,4.0,5,1,14,0,4,0,0,5.4
2010,4,9,14.5,4,0,2,0,1,0,0,0.8999999999999999
2010,4,10,12.0,5,1,1,0,1,0,0,0.6
2010,4,15,15.0,3,0,1,0,0,0,0,0.3
2010,4,18,1.0,6,1,1,0,0,0,0,0.3
2010,4,25,15.0,6,1,1,0,1,0,0,0.6
2010,4,27,3.0,1,0,1,0,0,0,0,0.3
2010,4,29,7.0,3,0,2,0,1,0,0,0.9
2010,5,2,9.0,6,1,1,0,0,0,0,0.3
2010,5,3,13.0,0,0,2,0,0,0,0,0.6
2010,5,5,9.5,2,0,2,0,0,0,0,0.6
2010,5,6,3.0,3,0,3,0,0,0,0,0.9
2010,5,9,20.0,6,1,0,0,0,1,0,0.0
2010,5,13,9.0,3,0,5,1,4,0,0,3.1
2010,5,19,11.0,2,0,1,0,1,0,0,0.6
2010,5,20,20.5,3,0,5,0,3,0,0,2.4
2010,5,23,14.0,6,1,1,0,0,0,0,0.3
2010,5,25,3.0,1,0,1,1,0,0,0,0.7
2010,5,28,3.0,4,0,3,0,5,0,0,2.4
2010,6,2,17.0,2,0,0,1,0,0,0,0.4
2010,6,4,18.0,4,0,651,1238,6360,316,0,2598.5
2010,6,6,13.0,6,1,2,0,0,1,0,0.6
2010,6,8,19.0,1,0,3,0,0,0,0,0.8999999999999999
2010,6,12,11.0,5,1,3,0,3,2,0,1.8
